iter	RMSE
0	32.10696346
1	31.40002742
2	30.79158539
3	30.23931131
4	29.62908165
5	29.16401689
6	28.56610719
7	28.1263016
8	27.59160713
9	27.11998706
10	26.63489312
11	26.19687688
12	25.69516015
13	25.30223554
14	24.86839185
15	24.45405057
16	24.03916085
17	23.72498466
18	23.38986721
19	23.08806196
20	22.85232309
21	22.57258158
22	22.28023359
23	21.96827614
24	21.70490562
25	21.41263846
26	21.15843328
27	20.9642025
28	20.70733822
29	20.49976565
30	20.23315875
31	20.00978785
32	19.76207014
33	19.51899652
34	19.30043818
35	19.08319813
36	18.92434276
37	18.78142068
38	18.59747463
39	18.41930577
40	18.19801295
41	18.00734426
42	17.828695
43	17.64412073
44	17.49861952
45	17.36517707
46	17.20483893
47	17.09914091
48	16.92054096
49	16.76114315
50	16.60251389
51	16.4497111
52	16.31711037
53	16.19868954
54	16.06719827
55	15.91553564
56	15.7319693
57	15.6203546
58	15.49927358
59	15.40534728
60	15.27664511
61	15.18432753
62	15.07367252
63	14.93132927
64	14.81092622
65	14.69113548
66	14.62851046
67	14.53160642
68	14.42984829
69	14.33203089
70	14.21614963
71	14.10382927
72	14.0222081
73	13.94414788
74	13.86907894
75	13.78933206
76	13.72271801
77	13.62840014
78	13.53105599
79	13.44347084
80	13.39651487
81	13.32120589
82	13.2594472
83	13.20737386
84	13.14501348
85	13.07676453
86	13.01727044
87	12.9590166
88	12.85777155
89	12.81147532
90	12.75557512
91	12.68464835
92	12.63226109
93	12.5560104
94	12.51738139
95	12.46182637
96	12.38760144
97	12.33045447
98	12.25752866
99	12.20777309
100	12.16132088
101	12.10418237
102	12.05391225
103	11.99821666
104	11.92903859
105	11.86596719
106	11.80727275
107	11.76036651
108	11.7051138
109	11.67817829
110	11.62954263
111	11.59390059
112	11.52939599
113	11.47890222
114	11.42601991
115	11.38001008
116	11.33089934
117	11.28743366
118	11.25586831
119	11.19972569
120	11.16004588
121	11.10505076
122	11.04598258
123	11.01039062
124	10.9642782
125	10.89992839
126	10.85540829
127	10.82945712
128	10.79508152
129	10.73156924
130	10.70882159
131	10.6560437
132	10.58921381
133	10.52507823
134	10.46712664
135	10.44219599
136	10.38348833
137	10.34683692
138	10.31385557
139	10.29389466
140	10.27206927
141	10.23415867
142	10.20079343
143	10.16940179
144	10.14390274
145	10.09067732
146	10.0523924
147	10.01185109
148	9.978111102
149	9.922460541
150	9.880975339
151	9.832278816
152	9.783902717
153	9.752504361
154	9.693031098
155	9.659083242
156	9.599693851
157	9.547307741
158	9.503324275
159	9.45518471
160	9.425546635
161	9.397984164
162	9.348214053
163	9.273334749
164	9.217851343
165	9.194591536
166	9.165099441
167	9.141704182
168	9.10681392
169	9.072503505
170	9.042243701
171	9.015982918
172	8.959950042
173	8.930994827
174	8.903781397
175	8.86757799
176	8.823943829
177	8.786108223
178	8.770652479
179	8.736368068
180	8.710764442
181	8.646267883
182	8.619448588
183	8.579723632
184	8.547534422
185	8.518045689
186	8.462158455
187	8.428782135
188	8.390454374
189	8.354720885
190	8.310740488
191	8.287164237
192	8.24725668
193	8.215199324
194	8.191823775
195	8.163537971
196	8.127583073
197	8.104062218
198	8.084768892
199	8.071675521
200	8.037024349
201	7.987612135
202	7.966136338
203	7.948569517
204	7.925569521
205	7.893335775
206	7.862481169
207	7.812574756
208	7.790588021
209	7.77086501
210	7.736242381
211	7.715566814
212	7.699613217
213	7.667665867
214	7.639092682
215	7.614030648
216	7.581022546
217	7.554229363
218	7.511196068
219	7.491012556
220	7.465081959
221	7.423259267
222	7.389386523
223	7.360131624
224	7.344645158
225	7.324725979
226	7.287191383
227	7.269249718
228	7.247754593
229	7.21360993
230	7.196822879
231	7.165212303
232	7.141959035
233	7.099056464
234	7.059495457
235	7.04084752
236	7.004028375
237	6.977891694
238	6.951957154
239	6.927926468
240	6.907584166
241	6.899636669
242	6.887103267
243	6.865462467
244	6.85600097
245	6.840928611
246	6.817820318
247	6.803518848
248	6.774144831
249	6.7488321
