iter	Passed	Remaining
408	6751	75783
409	6764	75726
410	6777	75672
411	6790	75613
412	6804	75579
413	6823	75588
414	6837	75537
415	6849	75481
416	6863	75427
417	6875	75367
418	6888	75314
419	6901	75259
420	6915	75212
421	6928	75157
422	6940	75101
423	6953	75041
424	6965	74986
425	6978	74933
426	6991	74878
427	7005	74835
428	7019	74788
429	7032	74737
430	7046	74696
431	7059	74645
432	7071	74586
433	7084	74535
434	7097	74482
435	7114	74472
436	7128	74431
437	7141	74381
438	7154	74333
439	7167	74280
440	7180	74229
441	7192	74174
442	7205	74125
443	7218	74074
444	7231	74022
445	7244	73973
446	7257	73923
447	7270	73872
448	7283	73820
449	7297	73784
450	7310	73735
451	7324	73694
452	7338	73660
453	7350	73606
454	7364	73565
455	7377	73517
456	7389	73463
457	7403	73421
458	7411	73320
459	7424	73275
460	7437	73227
461	7449	73174
462	7462	73128
463	7476	73084
464	7488	73036
465	7501	72989
466	7515	72949
467	7528	72903
468	7542	72866
469	7554	72817
470	7567	72768
471	7580	72723
472	7593	72676
473	7606	72630
474	7619	72586
475	7632	72539
476	7644	72490
477	7658	72452
478	7671	72408
479	7684	72358
480	7696	72311
481	7710	72276
482	7723	72229
483	7736	72183
484	7749	72142
485	7762	72096
486	7775	72051
487	7789	72021
488	7802	71976
489	7819	71968
490	7832	71924
491	7844	71877
492	7858	71838
493	7871	71795
494	7883	71746
495	7896	71704
496	7909	71665
497	7921	71615
498	7934	71572
499	7947	71529
500	7960	71487
501	7973	71444
502	7986	71405
503	7999	71363
504	8012	71322
505	8026	71283
506	8039	71245
507	8052	71205
508	8065	71167
509	8078	71124
510	8091	71080
511	8109	71086
512	8123	71052
513	8136	71011
514	8149	70968
515	8162	70933
516	8175	70890
517	8188	70848
518	8200	70805
519	8213	70764
520	8226	70720
521	8238	70677
522	8252	70641
523	8265	70605
524	8278	70564
525	8292	70536
526	8306	70500
527	8318	70457
528	8331	70419
529	8344	70381
530	8358	70343
531	8371	70305
532	8383	70263
533	8396	70223
534	8410	70188
535	8422	70149
536	8435	70109
537	8448	70071
538	8461	70034
539	8474	69993
540	8487	69956
541	8501	69924
542	8514	69888
543	8528	69856
544	8540	69816
545	8553	69774
546	8566	69735
547	8579	69697
548	8592	69660
549	8604	69621
550	8617	69580
551	8629	69539
552	8642	69500
553	8655	69460
554	8668	69423
555	8680	69383
556	8693	69346
557	8707	69313
558	8719	69272
559	8732	69234
560	8745	69197
561	8757	69156
562	8771	69124
563	8784	69094
564	8798	69060
565	8814	69050
566	8828	69025
567	8841	68991
568	8854	68951
569	8866	68912
570	8879	68875
571	8892	68841
572	8905	68807
573	8918	68769
574	8931	68730
575	8943	68691
576	8958	68673
577	8973	68654
578	8987	68626
579	9000	68588
580	9012	68551
581	9026	68521
582	9039	68485
583	9051	68447
584	9065	68414
585	9078	68379
586	9092	68358
587	9107	68340
588	9120	68305
589	9133	68271
590	9146	68234
591	9159	68202
592	9172	68166
593	9185	68134
594	9198	68097
595	9210	68059
596	9223	68022
597	9236	67994
598	9249	67958
599	9262	67924
600	9275	67894
601	9289	67862
602	9302	67829
603	9314	67795
604	9327	67760
605	9340	67727
606	9353	67692
607	9365	67656
608	9378	67622
609	9391	67590
610	9404	67553
611	9416	67517
612	9429	67484
613	9442	67452
614	9456	67422
615	9468	67388
616	9482	67359
617	9495	67329
618	9508	67298
619	9522	67270
620	9535	67237
621	9547	67202
622	9560	67172
623	9573	67140
624	9586	67108
625	9599	67074
626	9612	67041
627	9624	67004
628	9637	66973
629	9650	66942
630	9663	66908
631	9676	66876
632	9689	66848
633	9702	66814
634	9709	66744
635	9722	66711
636	9735	66679
637	9747	66643
638	9760	66610
639	9773	66585
640	9787	66555
641	9799	66521
642	9817	66525
643	9834	66517
644	9855	66542
645	9867	66509
646	9880	66477
647	9893	66447
648	9906	66417
649	9919	66384
650	9932	66354
651	9945	66323
652	9958	66295
653	9971	66265
654	9985	66239
655	9998	66209
656	10012	66185
657	10025	66157
658	10038	66126
659	10051	66096
660	10064	66065
661	10080	66058
662	10097	66049
663	10109	66019
664	10122	65987
665	10135	65958
666	10148	65928
667	10161	65895
668	10174	65867
669	10187	65837
670	10200	65807
671	10213	65777
672	10226	65747
673	10238	65716
674	10251	65687
675	10265	65664
676	10279	65637
677	10291	65606
678	10304	65577
679	10317	65547
680	10330	65520
681	10343	65488
682	10356	65457
683	10368	65427
684	10382	65399
685	10394	65366
686	10406	65333
687	10419	65305
688	10432	65275
689	10445	65247
690	10457	65214
691	10471	65188
692	10484	65162
693	10497	65135
694	10511	65112
695	10524	65081
696	10536	65050
697	10549	65022
698	10564	65002
699	10582	65006
700	10595	64976
701	10608	64948
702	10621	64919
703	10634	64891
704	10646	64862
705	10659	64830
706	10672	64806
707	10686	64781
708	10699	64753
709	10711	64724
710	10725	64698
711	10737	64668
712	10750	64640
713	10764	64618
714	10777	64592
715	10790	64561
716	10803	64533
717	10817	64512
718	10830	64483
719	10843	64456
720	10856	64430
721	10869	64402
722	10882	64376
723	10895	64348
724	10907	64315
725	10920	64288
726	10933	64260
727	10945	64230
728	10959	64210
729	10972	64182
730	10985	64154
731	10999	64134
732	11012	64106
733	11024	64076
734	11037	64050
735	11050	64021
736	11067	64015
737	11090	64047
738	11107	64043
739	11120	64018
740	11133	63991
741	11146	63962
742	11159	63939
743	11172	63912
744	11184	63881
745	11197	63851
746	11209	63822
747	11222	63793
748	11235	63765
749	11250	63751
750	11263	63726
751	11276	63701
752	11289	63673
753	11301	63644
754	11314	63616
755	11332	63615
756	11344	63587
757	11358	63564
758	11371	63537
759	11384	63513
760	11397	63487
761	11410	63461
762	11422	63432
763	11436	63410
764	11449	63384
765	11463	63361
766	11476	63335
767	11489	63314
768	11502	63286
769	11515	63260
770	11528	63233
771	11541	63206
772	11554	63181
773	11567	63158
774	11580	63131
775	11594	63110
776	11606	63082
777	11619	63058
778	11632	63031
779	11645	63004
780	11658	62980
781	11671	62956
782	11684	62929
783	11697	62904
784	11711	62882
785	11723	62854
786	11736	62828
787	11750	62806
788	11763	62784
789	11776	62757
790	11789	62731
791	11805	62723
792	11818	62699
793	11831	62675
794	11844	62648
795	11857	62625
796	11871	62606
797	11884	62581
798	11897	62552
799	11909	62526
800	11922	62500
801	11934	62472
802	11947	62446
803	11961	62427
804	11974	62403
805	11988	62382
806	12001	62354
807	12013	62328
808	12026	62302
809	12039	62276
810	12057	62281
811	12071	62257
812	12084	62236
813	12097	62211
814	12110	62184
815	12123	62161
816	12135	62133
817	12148	62108
818	12162	62087
